价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁
1640,8,41600-C,4室1卫,7/18层,昌平区,天通苑北,龙冠冠华苑二区,地铁：距5号线天通苑北站4000米
2770,14,47773-C,3室1卫,9/11层,朝阳区,孙河,康营小区15区,地铁：距15号线孙河站1050米
1700,12,51457-D,4室1卫,3/6层,房山区,良乡大学城西,鸿顺园西区,地铁：距房山线良乡大学城西站350米
2400,14,51956-B,3室1卫,8/9层,丰台区,新宫,诚苑南里,"地铁：距4号线大兴线,19号线新宫站1150米"
1950,16,52439-A,4室1卫,3/6层,顺义区,石门,澜西园,地铁：距15号线石门站2200米
1670,11,53004-C,3室1卫,4/6层,顺义区,石门,澜西园,地铁：距15号线石门站2200米
2550,10,64077-B,2室1卫,2/5层,昌平区,霍营,建材城东一里,"地铁：距8号线,13号线霍营站1350米"
2690,12,65754-A,3室1卫,1/6层,丰台区,首经贸,育菲园东里,"地铁：距10号线,房山线首经贸站300米"
1820,20,68065-B,4室1卫,7/18层,大兴区,高米店南,首邑溪谷,地铁：距4号线大兴线高米店南站1850米
2010,8,72325-A,3室1卫,3/6层,朝阳区,八里桥,瑞祥里小区,地铁：距八通线八里桥站750米
1990,8,74865-C,3室1卫,4/18层,通州区,通州北苑,通典铭居,地铁：距八通线通州北苑站450米
4480,21,8963-C,3室1卫,7/31层,朝阳区,望京南,嘉润花园,地铁：距14号线东段望京南站300米
2630,21,124886-C,4室1卫,3/6层,昌平区,龙泽,龙兴园西区,地铁：距13号线龙泽站1950米
1350,9,129455-B,4室1卫,4/6层,房山区,良乡大学城西,鸿顺园西区,地铁：距房山线良乡大学城西站350米
2700,10,11725-A,3室1卫,3/6层,昌平区,平西府,龙跃苑二区,地铁：距8号线平西府站1250米
2140,14,138222-B,3室1卫,4/6层,通州区,果园,玉带河西街,地铁：距八通线果园站850米
2630,20,141550-A,3室1卫,2/6层,朝阳区,管庄,西军庄,地铁：距八通线管庄站650米
3600,19,143273-B,2室1卫,2/16层,丰台区,方庄,芳星园三区,地铁：距14号线东段方庄站650米
3000,19,146094-A,3室1卫,14/15层,大兴区,枣园,那尔水晶城,地铁：距4号线大兴线枣园站650米
2200,8,146818-A,3室1卫,1/18层,朝阳区,八里桥,长桥园公寓,地铁：距八通线八里桥站650米
2780,8,12818-C,3室1卫,9/26层,昌平区,龙泽,回龙观新村东区,"地铁：距13号线,昌平线西二旗站1250米"
4730,17,146866-A,2室1卫,5/6层,西城区,木樨地,三里河三区,地铁：距1号线木樨地站350米
1480,10,139923-B,3室1卫,20/22层,房山区,广阳城,城建广悦居,地铁：距房山线广阳城站750米
1490,10,141042-C,3室1卫,18/22层,房山区,广阳城,城建广悦居,地铁：距房山线广阳城站750米
2570,24,12357-C,4室1卫,2/7层,通州区,土桥,DBC加州小镇,地铁：距八通线土桥站500米
1950,15,16590-C,5室1卫,32/35层,通州区,通运门,京贸国际城西区,地铁：距6号线通运门站2000米
1690,9,17803-C,4室1卫,10/20层,通州区,通州北关,中国铁建通瑞嘉苑,地铁：距6号线通州北关站2900米
2660,15,16797-B,3室1卫,4/6层,朝阳区,常营,连心园西区,地铁：距6号线常营站800米
6190,68,18909-A,1室1卫,8/9层,朝阳区,星火,姚家园西里1号院,"地铁：距3号线,20号线星火站600米"
,,,,,,,,
2010,11,23031-B,2室1卫,2/18层,通州区,次渠,次渠家园北里2区,"地铁：距亦庄线,17号线次渠站1350米"
1810,11,25691-B,4室1卫,18/24层,通州区,北运河西,玉桥佳园,地铁：距6号线北运河西站1050米
2910,9,27581-B,2室1卫,5/11层,石景山区,古城,古城南里,地铁：距1号线古城站100米
,,,,,,,,
2400,11,2906-B,3室1卫,28/28层,通州区,物资学院路,新建村小区,地铁：距6号线物资学院路站550米
2350,13,2937-A,3室1卫,1/16层,丰台区,新宫,德鑫嘉园三期,"地铁：距4号线大兴线,19号线新宫站850米"
,,,,,,,,
1720,11,29314-D,4室1卫,2/6层,通州区,通州北关,华龙小区,地铁：距6号线通州北关站2700米
1660,11,31535-B,3室1卫,17/21层,丰台区,张郭庄,红山郡,地铁：距14号线西段张郭庄站1750米
,,,,,,,,
1760,9,31506-C,3室1卫,5/6层,大兴区,黄村火车站,车站中里,地铁：距4号线大兴线黄村火车站站250米
,,,,,,,,
2570,13,3820-A,3室1卫,6/16层,朝阳区,双桥,华龙美树,地铁：距八通线双桥站350米
2750,11,3933-B,3室1卫,8/20层,朝阳区,常营,北辰福第中区,地铁：距6号线常营站450米
2860,29,44078-A,3室1卫,5/13层,大兴区,黄村西大街,兴丰家园,地铁：距4号线大兴线黄村西大街站700米
1710,12,52767-B,3室1卫,10/19层,房山区,良乡大学城北,智汇雅苑,地铁：距房山线良乡大学城北站450米
,,,,,,,,
2090,10,60626-A,2室1卫,9/15层,顺义区,花梨坎,天裕昕园,地铁：距15号线花梨坎站2550米
2350,10,63291-B,3室1卫,1/17层,朝阳区,立水桥南,溪城家园二号院,地铁：距5号线立水桥南站1250米
3190,14,63620-C,3室1卫,9/23层,朝阳区,劲松,农光里,地铁：距10号线劲松站350米
4280,30,67664-C,5室1卫,2/22层,丰台区,方庄,紫芳园四区,地铁：距14号线东段方庄站500米
1740,11,69136-B,3室1卫,4/4层,大兴区,天宫院,天堂河,地铁：距4号线大兴线天宫院站650米
1420,11,70774-C,4室1卫,5/8层,房山区,良乡大学城北,金地朗悦沁园,地铁：距房山线良乡大学城北站900米
1500,11,70607-A,3室1卫,1/6层,顺义区,顺义,仓上小区,地铁：距15号线顺义站1900米
3040,10,69755-B,2室1卫,18/18层,朝阳区,北工大西门,农光南路,地铁：距14号线东段北工大西门站600米
1700,11,79918-A,2室1卫,10/18层,房山区,篱笆房,清雅小区,地铁：距房山线篱笆房站850米
3650,11,9739-A,3室1卫,2/6层,海淀区,白石桥南,建设部大院,"地铁：距6号线,9号线白石桥南站500米"
2350,9,9894-D,4室1卫,2/6层,海淀区,育新,龙乡东区,地铁：距8号线育新站700米
