,价格,面积,编号,户型,楼层,位置1,位置2,小区,地铁,所在楼层,总楼层,地铁数,距离地铁距离
4814,2160,10,925-B,3室1卫,14/28层,朝阳区,管庄,管庄新村,距八通线管庄站600米,14,28,1,600
4815,2000,11,149667-B,3室1卫,3/18层,大兴区,天宫院,金融街融汇,距4号线大兴线天宫院站850米,3,18,2,850
4816,2860,10,13405-B,3室1卫,28/29层,丰台区,宋家庄,鲁能榴景秀苑,"距5号线,10号线,亦庄线宋家庄站550米",28,29,3,550
4817,2570,9,149092-A,3室1卫,3/6层,丰台区,角门东,角门东里,距10号线角门东站400米,3,6,1,400
4818,5780,25,152456-A,2室1卫,14/18层,朝阳区,大望路,盛世嘉园,"距1号线,14号线东段大望路站500米",14,18,2,500
4819,3910,13,23630-A,4室1卫,10/18层,海淀区,六道口,文成杰座,距15号线六道口站750米,10,18,1,750
4820,2790,22,23722-C,4室1卫,1/6层,丰台区,火箭万源,清和园,距8号线南段火箭万源站1450米,1,6,1,1450
4821,2500,21,36549-D,4室1卫,11/11层,昌平区,沙河,宏枫攀达,距昌平线沙河站950米,11,11,1,950
4822,1920,9,47950-C,4室1卫,21/21层,大兴区,亦庄桥,首开住总国悦居,距亦庄线荣京东街站2900米,21,21,1,2900
4823,3360,12,73054-A,2室1卫,5/16层,朝阳区,金台路,金台北街小区,"距6号线,14号线东段金台路站300米",5,16,2,300
4824,2060,11,148056-A,2室1卫,17/18层,房山区,稻田,金域缇香,距房山线稻田站800米,17,18,1,800
4825,2340,10,130442-B,3室1卫,16/18层,朝阳区,管庄,远洋一方润园,距八通线管庄站950米,16,18,1,950
4826,3660,29,19623-C,3室1卫,23/33层,丰台区,方庄,10AM新坐标,距14号线东段方庄站400米,23,33,1,400
4827,2420,25,25176-B,4室1卫,1/6层,昌平区,天通苑北,名佳花园三区,距5号线天通苑北站2600米,1,6,1,2600
4828,2980,20,29673-B,4室1卫,4/18层,通州区,高楼金,瑞都公园世家南区,距7号线高楼金站500米,4,18,1,500
4829,2220,9,29593-A,4室1卫,7/9层,朝阳区,东坝中街,首开常青藤三期,距14号线东段将台站4000米,7,9,1,4000
