price_aprox_usd,surface_covered_in_m2,lat,lon,neighborhood
18971.63,56.0,19.301945,-99.0495332,Tláhuac
79029.72,100.0,23.634501,-102.552788,Benito Juárez
32763.82,60.0,19.29312,-99.052935,Tláhuac
187037.01,120.0,19.498335,-99.131701,Gustavo A. Madero
66384.96,80.0,19.36269,-99.150565,Benito Juárez
95847.25,130.0,19.441733,-99.161653,Cuauhtémoc
32911.5,54.0,19.324947,-99.083468,Iztapalapa
71670.61,80.0,19.391834,-99.188695,Benito Juárez
77449.13,50.0,19.360367,-99.192614,Álvaro Obregón
363297.43,155.0,19.39365,-99.14769,Benito Juárez
315592.03,70.0,19.388433,-99.175962,Benito Juárez
94308.8,57.0,19.298168,-99.113106,Tlalpan
242415.29,170.0,19.400249,-99.177444,Miguel Hidalgo
60589.45,52.0,19.469681,-99.086136,Gustavo A. Madero
36692.81,60.0,19.392025,-99.135302,Benito Juárez
33930.09,60.0,19.301945,-99.049533,Tláhuac
152685.43,64.0,19.379134,-99.253631,Álvaro Obregón
36459.04,70.0,19.415143,-99.14685,Cuauhtémoc
34254.33,60.0,19.524143,-99.160149,Gustavo A. Madero
71653.61,70.0,19.393257,-99.157113,Benito Juárez
149102.74,95.0,19.39945,-99.164717,Benito Juárez
90726.12,91.0,19.336195,-99.23692,Álvaro Obregón
61288.91,80.0,19.410419,-99.194748,Miguel Hidalgo
255529.44,0.0,19.4374246,-99.1905651,Miguel Hidalgo
129112.49,136.0,19.416616,-99.160027,Cuauhtémoc
42524.31,60.0,19.479793,-99.100174,Gustavo A. Madero
52943.48,80.0,19.400785,-99.147419,Benito Juárez
131800.14,90.0,19.434723,-99.175887,Miguel Hidalgo
54758.8,66.0,19.497521,-99.203979,Azcapotzalco
39567.54,59.0,19.45789,-99.20016,Miguel Hidalgo
134756.21,73.0,19.364891,-99.148384,Benito Juárez
17386.53,48.0,19.363469,-99.010141,Iztapalapa
92201.34,90.0,19.260421,-99.120697,Xochimilco
61641.52,75.0,19.39942,-99.141673,Benito Juárez
132098.73,90.0,19.395261,-99.153153,Benito Juárez
263190.06,87.0,19.436516,-99.173988,Miguel Hidalgo
89514.33,51.0,19.400097,-99.122093,Iztacalco
27606.96,48.0,19.393751,-99.049999,Iztapalapa
52665.4,45.0,19.416979,-99.144176,Cuauhtémoc
44783.51,0.0,19.4780078,-99.15275,Azcapotzalco
58640.21,50.0,19.365843,-99.149901,Benito Juárez
180187.77,126.0,19.365686,-99.263209,Álvaro Obregón
55320.8,71.0,19.36678,-99.21145,Álvaro Obregón
39773.02,70.0,19.323772,-99.116562,Coyoacán
100894.61,80.0,19.355751,-99.299347,Cuajimalpa de Morelos
162123.24,64.0,19.3638234,-99.1444714,Benito Juárez
136457.99,100.0,19.295665,-99.132282,Tlalpan
237089.17,64.0,19.436024,-99.15461,Cuauhtémoc
268701.06,135.0,19.394073,-99.153915,Benito Juárez
60484.08,65.0,19.415461,-99.124168,Venustiano Carranza
